episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
147,Q018,0.3335,4,3,accepted,1,1.0,32.379,3180,647,292,0.012617,-0.522788,nan,-0.43479,-0.538617,-0.585594,True
148,Q017,0.4606,4,3,accepted,1,1.0,14.93,5715,651,294,0.003657,-0.486734,nan,-0.466978,-0.528132,-0.552169,True
149,Q042,0.3929,4,3,accepted,1,0.6667,30.822,3186,655,296,0.001776,-0.511658,nan,-0.415396,-0.559302,-0.590375,True
150,Q076,0.4843,4,3,accepted,1,1.0,20.173,5110,659,298,0.004012,-0.459662,nan,-0.43674,-0.510687,-0.566805,True
151,Q064,0.4378,4,3,accepted,1,1.0,21.046,5507,663,300,0.00706,-0.41245,nan,-0.36458,-0.486418,-0.575111,True
152,Q065,0.503,4,3,accepted,1,1.0,23.091,4319,667,302,0.001583,-0.498774,nan,-0.471946,-0.530936,-0.619489,True
153,Q081,0.4579,4,3,accepted,1,1.0,29.881,3575,671,304,0.010184,-0.512394,nan,-0.40082,-0.530338,-0.555331,True
154,Q010,0.2234,4,3,accepted,1,0.5,30.017,3422,675,306,0.006557,-0.498384,nan,-0.341891,-0.529489,-0.519859,True
155,Q081,0.4889,4,3,accepted,1,1.0,32.598,3607,679,308,0.002076,-0.545106,nan,-0.494141,-0.542305,-0.59593,True
156,Q083,0.5423,4,3,accepted,1,1.0,45.099,3307,683,310,0.002765,-0.457829,nan,-0.478714,-0.555266,-0.61089,True
157,Q017,0.4558,4,3,accepted,1,1.0,14.607,5688,687,312,0.009555,-0.440226,nan,-0.402456,-0.525299,-0.597946,True
158,Q080,0.5696,4,3,accepted,1,1.0,23.18,3104,691,314,0.009072,-0.522651,nan,-0.483225,-0.554867,-0.606522,True
159,Q073,0.554,4,3,accepted,1,1.0,38.287,3333,695,316,0.004783,-0.518657,nan,-0.430546,-0.551126,-0.605625,True
160,Q068,0.2731,4,3,accepted,1,0.5,43.083,3534,699,318,0.004356,-0.510544,nan,-0.415297,-0.50059,-0.537447,True
